nta_code,lon,lat
BK88,-73.97675316465828,40.629875681473976
QN52,-73.7947094770675,40.75434428164956
QN48,-73.77757128139504,40.743061717448064
QN51,-73.80004037409189,40.77525604015352
QN27,-73.85979190419809,40.762100397388416
BX35,-73.89664511761579,40.83341310482969
BX98,-73.87300703060848,40.785910682608474
QN07,-73.75519527407168,40.71539417211342
MN06,-73.94671849150376,40.81990285874488
QN02,-73.75888844442011,40.67324981252956
QN46,-73.7675280440519,40.77793479583116
BK25,-73.95788371010009,40.60665687104338
BX59,-73.83984774001976,40.83995352584424
QN41,-73.77936838128377,40.729710591976925
MN17,-73.97087936384109,40.76321359982834
MN19,-73.96217683029195,40.754559552934715
QN47,-73.76799582430098,40.778800768956096
QN08,-73.75144045443815,40.70387956435413
QN54,-73.8158882091478,40.701406842541715
QN25,-73.8548057473756,40.748323158645924
QN55,-73.805219037237,40.681787380419934
QN06,-73.75618637717893,40.725758348493954
BK44,-73.93871724835024,40.60779944419782
BK40,-73.98020503637186,40.661112230000505
BK41,-73.97051387089661,40.6452262297662
BK95,-73.95019606666378,40.63851967177344
BX33,-73.89414238585962,40.82437216510998
BK69,-73.9543546907078,40.680037579119464
BX52,-73.83968089917536,40.83560787610422
QN49,-73.79124052561275,40.78880203958704
QN26,-73.85414044174105,40.757745532920296
BK27,-74.00229530884026,40.594541898520156
BK28,-73.98077133211669,40.61449002578662
BK76,-73.93419080494047,40.72673869807646
QN30,-73.88844565173231,40.7338477487119
BK17,-73.91809580744824,40.586488338126884
QN35,-73.79473647940345,40.710080368317364
QN61,-73.77070551018903,40.708740986181155
SI45,-74.0860609456613,40.569800010214706
QN63,-73.8992383553673,40.759065470167016
QN76,-73.77570903741986,40.68016045910428
QN01,-73.77460953629047,40.6988159298007
BX10,-73.78879067261508,40.83490290848388
BK34,-73.99049641234744,40.643172115996215
QN33,-73.72673766447738,40.7019868165777
QN70,-73.90247843871329,40.76701355071214
QN34,-73.7288178958343,40.72287850015448
QN66,-73.73273948323087,40.68528262306902
BK45,-73.91727858528415,40.6316894958385
BK43,-73.95880091896686,40.628142331179205
BK26,-73.9654745175234,40.58963300892076
BK29,-73.97449156760693,40.611118550984095
SI12,-74.15993300867244,40.64148467686784
SI28,-74.12614943987134,40.64086167844082
BK19,-73.96033512771717,40.586540900737575
SI48,-74.17266911860024,40.560672446310676
BK85,-73.89906760858756,40.65845489681126
QN56,-73.83871237544628,40.67813040410165
BK60,-73.92824684591105,40.66118827994854
BK90,-73.92305983038416,40.71323878392632
BK72,-73.94949420056763,40.70504471539836
BK75,-73.94372281182032,40.6996169106135
BK81,-73.89918168684754,40.6573667460731
MN20,-73.9722422680978,40.74033478837582
BK35,-73.91794178633022,40.68669371241897
BK79,-73.90306759783978,40.67865452104544
BK61,-73.9217675006495,40.67756666297536
MN21,-73.9789567174291,40.7361282601345
BK63,-73.95737723821243,40.670623915435954
BK96,-73.910233374578,40.65102082833164
BX07,-73.86147265208825,40.86849374248232
BX44,-73.84754986601678,40.88685335251653
BX03,-73.79574344577777,40.883424580538296
BX31,-73.85253434845204,40.87296010453176
BK93,-73.8883920613282,40.64683777199464
QN31,-73.94274275692058,40.751754507272906
QN62,-73.81437910542456,40.746331874846646
BK91,-73.94527879676082,40.63600348023631
SI07,-74.13035296760233,40.62971861960535
QN45,-73.71469044586713,40.7597916489775
BK78,-73.93346351097173,40.70710130472064
BK77,-73.90228353271391,40.69070007703135
QN20,-73.9028644495927,40.71279348463844
QN43,-73.71320453331684,40.72688643131253
QN44,-73.71056784328309,40.72815810298708
BX41,-73.89725765794788,40.85167839622878
BK46,-73.96983218235606,40.6240636994299
QN22,-73.82370080784361,40.778647619216535
SI22,-74.0738378536769,40.6378691609008
MN27,-73.98463139491375,40.720313409921474
MN50,-73.97490918496297,40.73539646836964
BX22,-73.89662076231741,40.91077731663048
BX29,-73.8988736160389,40.88826697942018
BK42,-73.95834265457697,40.64870988543058
BX62,-73.83662982993194,40.89045869687594
SI25,-74.121731160298,40.57456073236406
BX30,-73.90591921769126,40.87320553335454
BX36,-73.90511377570763,40.857530342285294
