nta_code,lon,lat
MN35,-73.92733817348834,40.86532295105843
MN36,-73.9318311937724,40.84683543921202
BX26,-73.9173836592184,40.84496256957287
BX63,-73.91209674246434,40.84274104256979
BX09,-73.88240174924661,40.82011448406413
BX99,-73.86853364823392,40.81532001446939
QN99,-73.86422872850635,40.56923690017497
SI36,-74.0646768866637,40.588576454053815
QN03,-73.75639959412699,40.66642527333765
QN05,-73.7258304965502,40.681981468704855
SI01,-74.2220877883353,40.50380388322039
SI54,-74.14207365051239,40.56874658966302
BK50,-73.88838567544587,40.646722472719716
BK58,-73.91827280662525,40.62902742703521
BK33,-73.99272253553713,40.68896184765414
SI14,-74.07778129091136,40.606161287999846
SI37,-74.07312715886283,40.637787601476546
QN71,-73.92721704714842,40.77637482605598
BK32,-73.98765799811335,40.660001492274134
BK37,-73.97388876491456,40.68254929684476
QN37,-73.81478542346034,40.73698899453972
QN38,-73.79634794984067,40.738165913786176
QN21,-73.86242250768944,40.7120739502921
BK09,-73.99575286561746,40.690635412251225
BK38,-73.97916351960397,40.705553548004964
BK82,-73.86057147519678,40.67276581925678
BK83,-73.86305260041057,40.679183136848714
SI11,-74.21040393419021,40.55681850041012
SI05,-74.19007873310541,40.63213187216376
SI32,-74.20320389196048,40.55592802824535
BK31,-74.03042791828051,40.64231464625696
BK99,-73.91503675009142,40.586275158766064
SI99,-74.1157350296791,40.549559220778406
MN25,-74.00195928038299,40.694849680148565
MN24,-73.99302447459293,40.7230084764248
MN23,-73.99008151810679,40.732808870462364
MN13,-74.00126844101898,40.76219288789268
MN15,-73.99368890506808,40.7728565778916
MN32,-73.93783902871355,40.78088694310154
MN33,-73.93517429274804,40.79160744003538
MN99,-74.01050514389362,40.68497111631396
QN18,-73.85846443658541,40.73523515435547
QN29,-73.86783111121821,40.7446416163355
