lon,lat
-73.7947094770675,40.75434428164956
-73.77757128139505,40.74306171744806
-73.80004037409189,40.77525604015352
-73.85979190419809,40.762100397388416
-73.75519527407167,40.71539417211342
-73.75888844442011,40.67324981252956
-73.76752804405189,40.77793479583116
-73.77936838128377,40.72971059197692
-73.76799582430098,40.778800768956096
-73.75144045443815,40.703879564354125
-73.81588820914779,40.70140684254172
-73.8548057473756,40.74832315864592
-73.805219037237,40.681787380419934
-73.75618637717893,40.725758348493954
-73.79124052561275,40.78880203958704
-73.85414044174104,40.7577455329203
-73.88844565173231,40.733847748711895
-73.79473647940345,40.71008036831736
-73.77070551018903,40.708740986181155
-73.8992383553673,40.759065470167016
-73.77570903741986,40.68016045910427
-73.77460953629047,40.6988159298007
-73.72673766447738,40.7019868165777
-73.9024784387133,40.76701355071214
-73.7288178958343,40.72287850015448
-73.73273948323087,40.68528262306902
-73.83871237544628,40.67813040410165
-73.94274275692058,40.75175450727291
-73.81437910542456,40.746331874846646
-73.71469044586712,40.7597916489775
-73.9028644495927,40.71279348463844
-73.71320453331685,40.726886431312536
-73.71056784328309,40.72815810298708
-73.82370080784361,40.77864761921654
-73.88310979559357,40.56809950723481
-73.76779221530805,40.596885761793324
-73.83145650697915,40.714168140156275
-73.81694159363629,40.7024925794086
-73.93451148712045,40.77058125575556
-73.89041982565172,40.77385250209788
-73.74140255106826,40.73703815501126
-73.8684941078974,40.786746125592806
-73.76394598310421,40.592243711401
-73.89096281350801,40.745015803625286
-73.85946036300331,40.653227268607495
-73.872775867455,40.75518222804091
-73.74705888139043,40.63716538006781
-73.84838309520966,40.69626943050772
-73.85628170394664,40.70770902523837
-73.86422872850635,40.56923690017497
-73.75639959412698,40.666425273337644
-73.7258304965502,40.68198146870486
-73.92721704714842,40.77637482605598
-73.81478542346034,40.73698899453972
-73.79634794984067,40.738165913786176
-73.86242250768944,40.7120739502921
-73.85846443658541,40.735235154355465
-73.8678311112182,40.7446416163355
