county_name,weighted_metric
Albany,228.9953786
Allegany,68.30478649999999
Bronx,915.8251529
Broome,164.00356219999998
Capital Region,589.6970987000001
Cattaraugus,90.6846965
Cayuga,90.98752459999999
Central NY,652.0240462
Chautauqua,123.56223789999997
Chemung,98.2934968
Chenango,74.70131269999999
Clinton,92.2373135
Columbia,82.0264089
Cortland,73.0095991
Delaware,69.38305629999999
Dutchess,227.48131000000006
Erie,610.2002892
Essex,64.1578983
Finger Lakes,800.7307876000001
Franklin,70.850379
Fulton,77.3424656
Genesee,79.87361609999999
North Country,202.04206409999998
Greene,73.19683260000001
Hamilton,44.747049
Herkimer,79.61855130000001
Jefferson,118.88590639999998
Kings,1608.3967564
Lewis,56.9431655
Livingston,77.40309330000001
Long Island,1755.2503947999999
Madison,84.358542
Mid-Hudson,1445.2565249999998
Mohawk Valley,180.0559669
Monroe,503.4133032
Montgomery,74.5931051
Nassau,878.9866944000001
New York,975.7558944000001
New York City,5346.677384199999
New York State,11870.8716832
Niagara,178.81055119999996
Oneida,189.50200130000002
Onondaga,331.3237852000001
Ontario,111.12388259999999
Orange,286.4981172
Orleans,68.53205400000002
Oswego,118.0169155
Otsego,74.28300630000001
Putnam,117.66776230000002
Queens,1390.9837005
Rensselaer,144.7628406
Richmond,318.4018905
Rockland,269.4803311
Saratoga,180.92843639999998
Schenectady,142.99852220000002
Schoharie,59.50655449999999
Schuyler,53.32278610000001
Seneca,62.362133099999994
Southern Tier,289.3041641
St. Lawrence,108.452112
Steuben,101.7179038
Suffolk,983.3743447
Sullivan,92.87811759999998
Tioga,68.979064
Tompkins,98.0729302
Tug Hill Seaway,179.0331565
Ulster,153.8339897
Warren,84.30550230000001
Washington,78.18627089999998
Wayne,98.9476905
Westchester,643.5387542
Western NY,969.4293159000001
Wyoming,67.0666303
Yates,55.004915399999994
Essex/Hamilton,0.12296
Hamilton/Essex,0.12296
New York State (excluding NYC),403.8284838000001
