nta_code,lon,lat,people_per_acre
BK88,-73.97675316465828,40.629875681473976,85.9
QN52,-73.7947094770675,40.75434428164956,39.9
QN48,-73.77757128139504,40.743061717448064,25.5
QN51,-73.80004037409189,40.77525604015352,43.1
QN27,-73.85979190419809,40.762100397388416,52.2
BX35,-73.89664511761579,40.83341310482969,97.7
QN07,-73.75519527407168,40.71539417211342,38.6
MN06,-73.94671849150376,40.81990285874488,92.4
QN02,-73.75888844442011,40.67324981252956,38.9
QN46,-73.7675280440519,40.77793479583116,23.6
BK25,-73.95788371010009,40.606656871043384,64.4
BX59,-73.83984774001976,40.83995352584424,49.2
QN41,-73.77936838128377,40.72971059197693,28.0
MN17,-73.97087936384109,40.76321359982834,41.3
MN19,-73.96217683029195,40.754559552934715,124.7
QN47,-73.76799582430098,40.778800768956096,20.3
QN08,-73.75144045443815,40.70387956435413,27.3
QN54,-73.8158882091478,40.701406842541715,53.8
QN25,-73.8548057473756,40.748323158645924,124.6
QN55,-73.805219037237,40.681787380419934,40.4
QN06,-73.75618637717893,40.725758348493954,25.9
BK44,-73.93871724835024,40.60779944419782,61.9
BK40,-73.98020503637186,40.661112230000505,65.1
BK41,-73.97051387089661,40.6452262297662,101.1
BK95,-73.95019606666378,40.63851967177344,89.8
BX33,-73.89414238585962,40.82437216510998,106.3
BK69,-73.9543546907078,40.68003757911946,73.9
BX52,-73.83968089917536,40.83560787610422,21.3
QN49,-73.79124052561275,40.78880203958704,19.4
QN26,-73.85414044174105,40.757745532920296,125.9
BK27,-74.00229530884026,40.594541898520156,62.3
BK28,-73.98077133211669,40.61449002578662,82.8
BK76,-73.93419080494047,40.72673869807646,42.9
QN30,-73.88844565173231,40.7338477487119,37.3
BK17,-73.91809580744824,40.586488338126884,44.2
QN35,-73.79473647940345,40.710080368317364,58.1
QN61,-73.77070551018903,40.708740986181155,49.5
SI45,-74.0860609456613,40.56980001021471,17.2
QN63,-73.8992383553673,40.759065470167016,69.5
QN76,-73.77570903741986,40.68016045910428,35.7
QN01,-73.77460953629047,40.6988159298007,42.3
BX10,-73.78879067261508,40.83490290848388,29.0
BK34,-73.99049641234744,40.643172115996215,116.3
QN33,-73.72673766447738,40.7019868165777,24.2
QN70,-73.90247843871329,40.76701355071214,87.3
QN34,-73.7288178958343,40.72287850015448,32.6
QN66,-73.73273948323087,40.68528262306902,26.9
BK45,-73.91727858528415,40.6316894958385,27.2
BK43,-73.95880091896686,40.628142331179205,64.3
BK26,-73.9654745175234,40.58963300892076,40.2
BK29,-73.97449156760693,40.611118550984095,76.8
SI12,-74.15993300867244,40.64148467686784,15.1
SI28,-74.12614943987134,40.64086167844082,24.0
BK19,-73.96033512771717,40.586540900737575,90.4
SI48,-74.17266911860024,40.560672446310676,21.8
BK85,-73.89906760858756,40.65845489681126,65.8
QN56,-73.83871237544628,40.67813040410165,37.1
BK60,-73.92824684591105,40.66118827994854,92.9
BK90,-73.92305983038416,40.71323878392632,38.1
BK72,-73.94949420056763,40.70504471539836,123.7
BK75,-73.94372281182032,40.6996169106135,94.4
BK81,-73.89918168684754,40.6573667460731,77.7
MN20,-73.9722422680978,40.74033478837582,151.5
BK35,-73.91794178633022,40.68669371241897,88.1
BK79,-73.90306759783978,40.67865452104544,69.3
BK61,-73.9217675006495,40.67756666297536,87.0
MN21,-73.9789567174291,40.7361282601345,163.0
BK63,-73.95737723821243,40.670623915435954,108.1
BK96,-73.910233374578,40.65102082833164,73.8
BX07,-73.86147265208825,40.86849374248232,101.8
BX44,-73.84754986601678,40.88685335251653,73.6
BX03,-73.79574344577777,40.883424580538296,37.6
BX31,-73.85253434845204,40.87296010453176,39.8
BK93,-73.8883920613282,40.64683777199464,45.9
QN31,-73.94274275692058,40.751754507272906,27.0
QN62,-73.81437910542456,40.746331874846646,34.3
BK91,-73.94527879676082,40.63600348023631,63.9
SI07,-74.13035296760233,40.62971861960535,16.6
QN45,-73.71469044586713,40.7597916489775,15.5
BK78,-73.93346351097173,40.70710130472064,78.1
BK77,-73.90228353271391,40.69070007703135,100.1
QN20,-73.9028644495927,40.71279348463844,59.9
QN43,-73.71320453331684,40.72688643131253,20.1
QN44,-73.71056784328309,40.72815810298708,21.5
BX41,-73.89725765794788,40.85167839622878,153.5
BK46,-73.96983218235606,40.6240636994299,49.6
QN22,-73.82370080784361,40.778647619216535,84.4
SI22,-74.0738378536769,40.6378691609008,23.9
MN27,-73.98463139491375,40.72031340992147,144.0
MN50,-73.97490918496297,40.73539646836964,158.4
BX22,-73.89662076231741,40.91077731663048,24.4
BX29,-73.8988736160389,40.88826697942018,55.8
BK42,-73.95834265457697,40.64870988543058,101.9
BX62,-73.83662982993194,40.89045869687594,47.1
SI25,-74.121731160298,40.57456073236406,17.0
BX30,-73.90591921769126,40.87320553335454,108.0
BX36,-73.90511377570763,40.857530342285294,111.9
BX34,-73.90185006265486,40.819127423815615,98.8
QN10,-73.88310979559357,40.56809950723481,13.8
QN12,-73.76779221530805,40.596885761793324,25.0
BX17,-73.88190057613944,40.84722087350568,97.5
BX37,-73.83194204651684,40.855274937167614,35.3
QN17,-73.83145650697917,40.71416814015628,63.0
QN60,-73.81694159363629,40.702492579408606,49.6
BK68,-73.96936978179305,40.695934782947724,68.9
BX01,-73.89144545582656,40.85384401922432,82.4
BX40,-73.89128169009294,40.861166805365016,195.4
MN34,-73.93389519100164,40.815773725916415,101.1
MN31,-73.94285286831145,40.76820224599832,157.8
QN68,-73.93451148712046,40.77058125575557,37.0
BX39,-73.92408949210555,40.815593216382425,55.1
