nta_code,lon,lat,people_per_acre
BK30,-74.00485074795044,40.630803149240975,61.8
QN15,-73.7639459831042,40.592243711401,40.0
QN50,-73.89096281350801,40.745015803625286,50.9
QN57,-73.85946036300331,40.653227268607495,17.8
QN28,-73.87277586745499,40.75518222804091,98.2
QN53,-73.84838309520966,40.69626943050772,66.4
BK73,-73.95622060602194,40.72344327054538,69.6
MN04,-73.93971046746277,40.83019840923463,132.1
MN03,-73.93421138335036,40.81958911431544,126.6
SI24,-74.09675689013804,40.61063664459014,7.3
BK21,-73.97457920699784,40.5829443583675,37.5
BK23,-73.9695165005258,40.5754519851306,88.2
QN19,-73.85628170394664,40.707709025238366,47.3
MN01,-73.92161507288301,40.85648660778604,115.2
BX06,-73.88284141379978,40.86627281040742,87.4
MN11,-73.94317587615153,40.80628844319092,130.9
MN40,-73.95027674878385,40.78390712614244,132.9
MN14,-73.9759577218822,40.77622680674431,165.7
BX28,-73.8870674008376,40.8840387541737,98.9
MN09,-73.95292614478912,40.81033999203852,120.2
MN12,-73.96074565458049,40.797070679133355,167.3
MN22,-73.98179971004444,40.73105272800986,176.5
MN28,-73.98186074217642,40.7057291039039,136.1
MN35,-73.92733817348834,40.86532295105843,127.7
MN36,-73.9318311937724,40.84683543921202,158.4
BX26,-73.9173836592184,40.84496256957287,101.1
BX63,-73.91209674246434,40.84274104256979,89.9
BX09,-73.88240174924661,40.82011448406413,44.8
SI36,-74.0646768866637,40.588576454053815,16.1
QN03,-73.75639959412699,40.66642527333765,20.3
QN05,-73.7258304965502,40.681981468704855,18.5
SI01,-74.2220877883353,40.50380388322039,8.4
SI54,-74.14207365051239,40.56874658966302,19.6
BK50,-73.88838567544587,40.646722472719716,42.7
BK58,-73.91827280662525,40.62902742703521,51.8
BK33,-73.99272253553713,40.68896184765414,36.9
SI14,-74.07778129091136,40.606161287999846,16.3
SI37,-74.07312715886283,40.637787601476546,21.1
QN71,-73.92721704714842,40.77637482605598,76.7
BK32,-73.98765799811335,40.660001492274134,43.8
BK37,-73.97388876491456,40.68254929684476,70.4
QN37,-73.81478542346034,40.73698899453972,42.9
QN38,-73.79634794984067,40.738165913786176,38.1
QN21,-73.86242250768944,40.7120739502921,28.5
BK09,-73.99575286561746,40.690635412251225,97.0
BK38,-73.97916351960397,40.705553548004964,53.6
BK82,-73.86057147519678,40.67276581925678,34.5
BK83,-73.86305260041057,40.679183136848714,77.9
SI11,-74.21040393419021,40.55681850041012,6.8
SI05,-74.19007873310541,40.63213187216376,5.6
SI32,-74.20320389196048,40.555928028245354,13.9
BK31,-74.03042791828051,40.64231464625696,50.5
MN25,-74.00195928038299,40.694849680148565,82.7
MN24,-73.99302447459293,40.7230084764248,73.5
MN23,-73.99008151810679,40.732808870462364,114.6
MN13,-74.00126844101898,40.76219288789268,82.4
MN15,-73.99368890506808,40.7728565778916,108.6
MN32,-73.93783902871355,40.78088694310154,244.2
MN33,-73.93517429274804,40.79160744003538,148.7
QN18,-73.85846443658541,40.73523515435547,62.0
QN29,-73.86783111121821,40.7446416163355,117.9
