"","time","type","avg_rent"
"159","2014-10","2 Bed",NA
"160","2014-11","2 Bed",NA
"161","2014-12","2 Bed",NA
"162","2015-01","2 Bed",NA
"163","2015-02","2 Bed",NA
"164","2015-03","2 Bed",NA
"165","2015-04","2 Bed",NA
"166","2015-05","2 Bed",NA
"167","2015-06","2 Bed",NA
"168","2015-07","2 Bed",NA
"169","2015-08","2 Bed",NA
"170","2015-09","2 Bed",NA
"171","2015-10","2 Bed",NA
"172","2015-11","2 Bed",NA
"173","2015-12","2 Bed",NA
"174","2016-01","2 Bed",NA
"175","2016-02","2 Bed",NA
"176","2016-03","2 Bed",NA
"177","2016-04","2 Bed",NA
"178","2016-05","2 Bed",NA
"179","2016-06","2 Bed",NA
"180","2016-07","2 Bed",NA
"181","2016-08","2 Bed",NA
"182","2016-09","2 Bed",NA
"183","2016-10","2 Bed",NA
"184","2016-11","2 Bed",NA
"185","2016-12","2 Bed",NA
"186","2017-01","2 Bed",4.8457539358164
"187","2017-02","2 Bed",4.86880665503881
"188","2017-03","2 Bed",4.86174546798012
"189","2017-04","2 Bed",4.87091462033435
"190","2017-05","2 Bed",4.9232424095138
"191","2017-06","2 Bed",4.89837888971607
"192","2017-07","2 Bed",4.91014513007012
"193","2017-08","2 Bed",4.89854172988649
"194","2017-09","2 Bed",4.88822983510933
"195","2017-10","2 Bed",4.8824142856106
"196","2017-11","2 Bed",4.86413623266433
"197","2017-12","2 Bed",4.854875775174
"198","2018-01","2 Bed",4.91991618106422
"199","2018-02","2 Bed",4.90817473930237
"200","2018-03","2 Bed",4.87097675398315
"201","2018-04","2 Bed",4.89310119588479
"202","2018-05","2 Bed",4.94557276135869
"203","2018-06","2 Bed",4.95917324975454
"204","2018-07","2 Bed",4.91718002276065
"205","2010-03","3 Bed",NA
"206","2010-04","3 Bed",NA
"207","2010-05","3 Bed",NA
"208","2010-06","3 Bed",NA
"209","2010-07","3 Bed",NA
"210","2010-08","3 Bed",NA
"211","2010-09","3 Bed",NA
"212","2010-10","3 Bed",NA
"213","2010-11","3 Bed",NA
"214","2010-12","3 Bed",NA
"215","2011-01","3 Bed",NA
"216","2011-02","3 Bed",NA
"217","2011-03","3 Bed",NA
"218","2011-04","3 Bed",NA
"219","2011-05","3 Bed",NA
"220","2011-06","3 Bed",NA
"221","2011-07","3 Bed",NA
"222","2011-08","3 Bed",NA
"223","2011-09","3 Bed",NA
"224","2011-10","3 Bed",NA
"225","2011-11","3 Bed",NA
"226","2011-12","3 Bed",NA
"227","2012-01","3 Bed",NA
"228","2012-02","3 Bed",NA
"229","2012-03","3 Bed",NA
"230","2012-04","3 Bed",NA
"231","2012-05","3 Bed",NA
"232","2012-06","3 Bed",NA
"233","2012-07","3 Bed",NA
"234","2012-08","3 Bed",NA
"235","2012-09","3 Bed",NA
"236","2012-10","3 Bed",NA
"237","2012-11","3 Bed",NA
"238","2012-12","3 Bed",NA
"239","2013-01","3 Bed",NA
"240","2013-02","3 Bed",NA
"241","2013-03","3 Bed",NA
"242","2013-04","3 Bed",NA
"243","2013-05","3 Bed",NA
"244","2013-06","3 Bed",NA
"245","2013-07","3 Bed",NA
"246","2013-08","3 Bed",NA
"247","2013-09","3 Bed",NA
"248","2013-10","3 Bed",NA
"249","2013-11","3 Bed",NA
"250","2013-12","3 Bed",NA
"251","2014-01","3 Bed",NA
"252","2014-02","3 Bed",NA
"253","2014-03","3 Bed",NA
"254","2014-04","3 Bed",NA
"255","2014-05","3 Bed",NA
"256","2014-06","3 Bed",NA
"257","2014-07","3 Bed",NA
"258","2014-08","3 Bed",NA
"259","2014-09","3 Bed",NA
"260","2014-10","3 Bed",NA
"261","2014-11","3 Bed",NA
"262","2014-12","3 Bed",NA
"263","2015-01","3 Bed",NA
"264","2015-02","3 Bed",NA
"265","2015-03","3 Bed",NA
"266","2015-04","3 Bed",NA
"267","2015-05","3 Bed",NA
"268","2015-06","3 Bed",NA
"269","2015-07","3 Bed",NA
"270","2015-08","3 Bed",NA
"271","2015-09","3 Bed",NA
"272","2015-10","3 Bed",NA
"273","2015-11","3 Bed",NA
"274","2015-12","3 Bed",NA
"275","2016-01","3 Bed",NA
"276","2016-02","3 Bed",NA
"277","2016-03","3 Bed",NA
"278","2016-04","3 Bed",NA
"279","2016-05","3 Bed",NA
"280","2016-06","3 Bed",NA
"281","2016-07","3 Bed",NA
"282","2016-08","3 Bed",NA
"283","2016-09","3 Bed",NA
"284","2016-10","3 Bed",NA
"285","2016-11","3 Bed",NA
"286","2016-12","3 Bed",NA
"287","2017-01","3 Bed",NA
"288","2017-02","3 Bed",5.78478419524315
"289","2017-03","3 Bed",5.78034905742071
"290","2017-04","3 Bed",5.54269936205812
"291","2017-05","3 Bed",5.57505541810561
"292","2017-06","3 Bed",5.62729730181744
"293","2017-07","3 Bed",5.66553693753142
"294","2017-08","3 Bed",5.57289842224435
"295","2017-09","3 Bed",5.49492066096691
"296","2017-10","3 Bed",5.48569611988558
"297","2017-11","3 Bed",5.30992369138843
"298","2017-12","3 Bed",5.2963584948287
"299","2018-01","3 Bed",5.08377686843829
"300","2018-02","3 Bed",5.16939060065888
"301","2018-03","3 Bed",5.41216140060602
"302","2018-04","3 Bed",5.3445006127451
"303","2018-05","3 Bed",5.42284631745036
"304","2018-06","3 Bed",5.47810906077969
"305","2018-07","3 Bed",5.4468202933922
"306","2010-02","Condo/Co-op",NA
"307","2010-03","Condo/Co-op",NA
"308","2010-04","Condo/Co-op",NA
"309","2010-05","Condo/Co-op",NA
"310","2010-06","Condo/Co-op",NA
"311","2010-07","Condo/Co-op",NA
"312","2010-08","Condo/Co-op",NA
"313","2010-09","Condo/Co-op",NA
"314","2010-10","Condo/Co-op",NA
"315","2010-11","Condo/Co-op",NA
"316","2010-12","Condo/Co-op",NA
"317","2011-01","Condo/Co-op",NA
"318","2011-02","Condo/Co-op",NA
"319","2011-03","Condo/Co-op",NA
"320","2011-04","Condo/Co-op",NA
"321","2011-05","Condo/Co-op",NA
"322","2011-06","Condo/Co-op",NA
"323","2011-07","Condo/Co-op",NA
"324","2011-08","Condo/Co-op",NA
"325","2011-09","Condo/Co-op",NA
"326","2011-10","Condo/Co-op",NA
"327","2011-11","Condo/Co-op",NA
"328","2011-12","Condo/Co-op",NA
"329","2012-01","Condo/Co-op",NA
"330","2012-02","Condo/Co-op",NA
"331","2012-03","Condo/Co-op",NA
"332","2012-04","Condo/Co-op",NA
"333","2012-05","Condo/Co-op",NA
"334","2012-06","Condo/Co-op",NA
"335","2012-07","Condo/Co-op",NA
"336","2012-08","Condo/Co-op",NA
"337","2012-09","Condo/Co-op",NA
"338","2012-10","Condo/Co-op",NA
"339","2012-11","Condo/Co-op",NA
"340","2012-12","Condo/Co-op",NA
"341","2013-01","Condo/Co-op",NA
"342","2013-02","Condo/Co-op",NA
"343","2013-03","Condo/Co-op",NA
"344","2013-04","Condo/Co-op",NA
"345","2013-05","Condo/Co-op",NA
"346","2013-06","Condo/Co-op",NA
"347","2013-07","Condo/Co-op",NA
"348","2013-08","Condo/Co-op",NA
"349","2013-09","Condo/Co-op",NA
"350","2013-10","Condo/Co-op",NA
"351","2013-11","Condo/Co-op",NA
"352","2013-12","Condo/Co-op",NA
"353","2014-01","Condo/Co-op",NA
"354","2014-02","Condo/Co-op",NA
"355","2014-03","Condo/Co-op",NA
"356","2014-04","Condo/Co-op",NA
"357","2014-05","Condo/Co-op",NA
"358","2014-06","Condo/Co-op",NA
"359","2014-07","Condo/Co-op",NA
"360","2014-08","Condo/Co-op",NA
"361","2014-09","Condo/Co-op",NA
"362","2014-10","Condo/Co-op",NA
"363","2014-11","Condo/Co-op",NA
"364","2014-12","Condo/Co-op",NA
"365","2015-01","Condo/Co-op",NA
"366","2015-02","Condo/Co-op",NA
"367","2015-03","Condo/Co-op",NA
"368","2015-04","Condo/Co-op",NA
"369","2015-05","Condo/Co-op",NA
"370","2015-06","Condo/Co-op",NA
"371","2015-07","Condo/Co-op",NA
"372","2015-08","Condo/Co-op",NA
"373","2015-09","Condo/Co-op",NA
"374","2015-10","Condo/Co-op",NA
"375","2015-11","Condo/Co-op",NA
"376","2015-12","Condo/Co-op",NA
"377","2016-01","Condo/Co-op",NA
"378","2016-02","Condo/Co-op",NA
"379","2016-03","Condo/Co-op",NA
"380","2016-04","Condo/Co-op",NA
"381","2016-05","Condo/Co-op",NA
"382","2016-06","Condo/Co-op",NA
"383","2016-07","Condo/Co-op",NA
"384","2016-08","Condo/Co-op",NA
