lon,lat
-74.0860609456613,40.5698000102147
-74.15993300867243,40.64148467686784
-74.12614943987134,40.64086167844082
-74.17266911860023,40.560672446310676
-74.13035296760233,40.62971861960534
-74.0738378536769,40.6378691609008
-74.121731160298,40.57456073236406
-74.0830819999322,40.60649968414232
-74.08500301841926,40.63460655240422
-74.09675689013805,40.61063664459014
-74.0646768866637,40.588576454053815
-74.2220877883353,40.503803883220385
-74.14207365051239,40.56874658966302
-74.07778129091136,40.60616128799985
-74.07312715886283,40.637787601476546
-74.21040393419021,40.55681850041012
-74.19007873310541,40.632131872163754
-74.20320389196048,40.55592802824534
-74.11573502967909,40.549559220778406
