lon,lat
-73.94671849150377,40.819902858744875
-73.9708793638411,40.76321359982834
-73.96217683029195,40.75455955293472
-73.9722422680978,40.74033478837582
-73.9789567174291,40.7361282601345
-73.98463139491375,40.72031340992148
-73.97490918496297,40.73539646836964
-73.93389519100164,40.815773725916415
-73.94285286831146,40.768202245998324
-73.93971046746276,40.83019840923463
-73.93421138335036,40.81958911431544
-73.92161507288301,40.85648660778604
-73.94317587615153,40.80628844319092
-73.95027674878384,40.78390712614244
-73.9759577218822,40.776226806744305
-73.95292614478913,40.81033999203852
-73.96074565458048,40.797070679133355
-73.98179971004443,40.731052728009864
-73.98186074217642,40.7057291039039
-73.92733817348835,40.86532295105843
-73.93183119377241,40.84683543921202
-74.00195928038298,40.694849680148565
-73.99302447459294,40.723008476424795
-73.9900815181068,40.73280887046237
-74.00126844101898,40.76219288789268
-73.99368890506808,40.772856577891595
-73.93783902871357,40.78088694310154
-73.93517429274804,40.79160744003538
-74.01050514389362,40.68497111631396
