lon,lat
-73.8966451176158,40.83341310482969
-73.87300703060848,40.785910682608474
-73.83984774001976,40.839953525844244
-73.89414238585962,40.82437216510998
-73.83968089917536,40.83560787610422
-73.78879067261508,40.834902908483876
-73.86147265208825,40.868493742482315
-73.84754986601678,40.886853352516525
-73.79574344577777,40.883424580538296
-73.85253434845204,40.872960104531764
-73.89725765794788,40.85167839622878
-73.8966207623174,40.91077731663048
-73.8988736160389,40.88826697942018
-73.83662982993194,40.89045869687594
-73.90591921769126,40.87320553335454
-73.90511377570763,40.8575303422853
-73.90185006265486,40.81912742381562
-73.88190057613943,40.847220873505684
-73.83194204651684,40.85527493716762
-73.89144545582654,40.85384401922432
-73.89128169009294,40.861166805365016
-73.92408949210554,40.81559321638242
-73.90935850619218,40.84125592920732
-73.83646304977549,40.85694618618556
-73.86455537347081,40.8324105583628
-73.86044217916518,40.8334043332163
-73.85984387515808,40.833062787126586
-73.88519403448205,40.86635933718132
-73.88258447064064,40.867706387355895
-73.88432503719977,40.82280731727435
-73.87306369995852,40.83932674227268
-73.82099480912383,40.88105280465182
-73.88284141379978,40.86627281040742
-73.8870674008376,40.8840387541737
-73.9173836592184,40.84496256957287
-73.91209674246434,40.8427410425698
-73.88240174924661,40.820114484064135
-73.86853364823392,40.81532001446939
