lon,lat
-73.97675316465828,40.629875681473976
-73.9578837101001,40.606656871043384
-73.93871724835023,40.60779944419782
-73.98020503637186,40.66111223000051
-73.97051387089661,40.645226229766195
-73.95019606666378,40.63851967177344
-73.95435469070779,40.68003757911946
-74.00229530884026,40.594541898520156
-73.98077133211669,40.61449002578662
-73.93419080494047,40.72673869807646
-73.91809580744824,40.58648833812688
-73.99049641234743,40.64317211599622
-73.91727858528415,40.6316894958385
-73.95880091896686,40.6281423311792
-73.9654745175234,40.58963300892076
-73.97449156760692,40.611118550984095
-73.96033512771717,40.586540900737575
-73.89906760858756,40.65845489681126
-73.92824684591105,40.66118827994854
-73.92305983038416,40.713238783926315
-73.94949420056763,40.70504471539836
-73.94372281182032,40.6996169106135
-73.89918168684754,40.6573667460731
-73.91794178633022,40.686693712418965
-73.90306759783978,40.67865452104544
-73.9217675006495,40.67756666297536
-73.95737723821242,40.670623915435954
-73.910233374578,40.65102082833164
-73.8883920613282,40.64683777199464
-73.94527879676082,40.63600348023631
-73.93346351097173,40.70710130472064
-73.90228353271391,40.69070007703135
-73.96983218235607,40.6240636994299
-73.95834265457697,40.64870988543058
-73.96936978179305,40.69593478294773
-73.9665466853097,40.68156864253638
-74.00485074795044,40.63080314924098
-73.95622060602193,40.72344327054538
-73.97457920699784,40.5829443583675
-73.9695165005258,40.5754519851306
-73.88838567544587,40.646722472719716
-73.91827280662525,40.62902742703521
-73.99272253553713,40.68896184765414
-73.98765799811335,40.660001492274134
-73.97388876491456,40.68254929684476
-73.99575286561745,40.690635412251225
-73.97916351960397,40.705553548004964
-73.86057147519678,40.67276581925678
-73.86305260041058,40.67918313684872
-74.03042791828052,40.64231464625696
-73.91503675009142,40.586275158766064
