county_name,weighted_metric,lon,lat
Albany,228.99537859999998,-73.55779120268647,42.54575409380802
Allegany,68.30478649999999,-77.06175817832764,41.71206559186575
Bronx,915.8251528999999,,
Broome,164.00356219999995,-75.91998696623563,42.106487871544886
Capital Region,589.6970987000002,,
Cattaraugus,90.6846965,-76.9321634694435,41.33052530163879
Cayuga,90.9875246,-76.01621750121029,42.61921166565809
Central NY,652.0240462,,
Chautauqua,123.56223789999996,-79.32248020170883,42.24784921904841
Chemung,98.2934968,-76.70348128798727,42.05816571506232
Chenango,74.70131269999997,-75.5048718156112,42.45821801413844
Clinton,92.2373135,-73.36652259884352,44.632204784965666
Columbia,82.0264089,-73.67077075423921,42.285311383902325
Cortland,73.00959909999999,-76.16053795167146,42.595776773256546
Delaware,69.38305629999999,-74.99893983970489,42.2169775522021
Dutchess,227.48131000000006,-73.8471220835967,41.70949369147382
Erie,610.2002892,,
Essex,64.1578983,-73.8267218933507,44.2248955785399
Finger Lakes,800.7307876000001,,
Franklin,70.850379,-74.30960532506373,44.587251876295674
Fulton,77.3424656,-74.31325618160919,43.05473690545977
Genesee,79.87361609999998,-78.19283143351481,42.99346748130671
North Country,202.0420641,,
Greene,73.19683260000002,-74.02721218413153,42.27856463245175
Hamilton,44.747049,-74.50425729580154,43.81252764456107
Herkimer,79.61855130000002,-74.98725491108462,43.14434812467223
Jefferson,118.88590639999998,-75.94059261019373,44.04863175815201
Kings,1608.3967564000002,,
Lewis,56.943165500000006,-75.45290903719132,43.77501734483784
Livingston,77.40309330000002,-77.76715725404007,42.77644548028442
Long Island,1755.2503948,,
Madison,84.358542,-75.70250192057027,42.974755325506166
Mid-Hudson,1445.2565249999998,,
Mohawk Valley,180.0559669,,
Monroe,503.4133032,-77.61353784496572,43.15513287622358
Montgomery,74.5931051,-74.31788855232975,42.94027145698925
Nassau,878.9866944000001,-73.60967769770126,40.726844999758484
New York,975.7558944,,
New York City,5346.677384199998,,
New York State,11870.871683200001,,
Niagara,178.81055119999996,-78.8710397037811,43.13191661160445
Oneida,189.5020013,-75.34217561885737,43.140863569636444
Onondaga,331.3237852000001,-76.16150705828585,43.0592314836823
Ontario,111.1238826,-77.25912075202042,42.903004395150994
Orange,286.49811719999997,-74.22450141786379,41.424741711214914
Orleans,68.53205400000002,-78.25269499734836,43.2490800656281
Oswego,118.0169155,-76.33018957329179,43.39988919944598
Otsego,74.28300630000003,-75.00475424547555,42.57376937697343
Putnam,117.66776230000002,-73.71079472898161,41.41444570615575
Queens,1390.9837005000002,,
Rensselaer,144.7628406,-73.65837808062236,42.697720402303496
Richmond,318.4018905,,
Rockland,269.4803311,-74.00510680673752,41.11443020798977
Saratoga,180.9284364,-73.77688374785876,43.02925832246431
Schenectady,142.99852220000002,-73.94150933590069,42.80605177836173
Schoharie,59.50655449999999,-74.44836467387452,42.649861454803265
Schuyler,53.32278610000001,-76.87969597900073,42.38056603186097
Seneca,62.3621331,-76.8238069515082,42.825016197785416
Southern Tier,289.30416410000004,,
St. Lawrence,108.45211200000001,,
Steuben,101.71790379999999,-77.30005681043782,42.263070449238576
Suffolk,983.3743447,,
Sullivan,92.87811759999998,-74.73355351217823,41.71429192095159
Tioga,68.97906400000001,-76.30478557566025,42.11296251356174
Tompkins,98.0729302,-76.49235833333333,42.460817200198704
Tug Hill Seaway,179.0331565,,
Ulster,153.8339897,-74.07660536100872,41.87543618893284
Warren,84.30550230000001,-73.70904698852628,43.43193355602885
Washington,78.18627089999998,-73.47783723269556,43.29386819752392
Wayne,98.94769050000001,-77.12876117253802,43.13156559327462
Westchester,643.5387542000001,-73.79382973282195,41.04295291374947
Western NY,969.4293159,,
Wyoming,67.0666303,-78.20731606862202,42.70458973934698
Yates,55.0049154,-77.03400759873617,42.62397758346498
Essex/Hamilton,0.12295999999999999,,
Hamilton/Essex,0.12295999999999999,,
New York State (excluding NYC),403.82848380000013,,
